Track_URI,Track_Name,Album_Name,Artist_Name(s),Release_Date,Duration_ms,Popularity,Explicit,Added_By,Added_At,Genres,Record_Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time_Signature
spotify:track:51JJRzhbuXMZ5f0pKGytvu,Dil 26,Dhurandhar,"Vishal-Shekhar, Nucleya, Stebin Ben",11/19/16,100044,65,TRUE,dj_mixer,2025-12-13T16:12:57Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Indie Records,0.782,0.481,10,-4.405,0,0.041,0.25597,0,0.76,0.69,78.343,5
spotify:track:KveCcwrN8fKxJ7Tc4JlLF7,Sur 27,Dilwale,"Big Dhamma, Shreya Ghoshal, A.R. Rahman",1/20/20,114264,43,TRUE,playlist_curator,2025-08-28T20:11:02Z,"bollywood,indian indie,desi pop,malayalam hip hop,desi hip hop,ghazal,marathi pop,bangla pop,hindi pop",YRF Music,0.386,0.55,7,-8.187,0,0.146,0.91794,0.194,0.679,0.147,150.942,4
spotify:track:P4tOPhRfINuhR694fPFbt6,Raah 28,Dil Se,Mohammed Rafi,10/31/18,461686,62,TRUE,music_blogger,2022-07-16T04:09:04Z,"punjabi pop,punjabi hip hop,desi hip hop,bhangra",Desi Beats,0.422,0.83,8,-4.979,0,0.265,0.87639,0.309,0.154,0.263,160.855,5
spotify:track:oBrUBHtYDZw69CrxG7YXip,Track 29: Neon,Happier Than Ever,SZA,3/11/22,311967,47,TRUE,radio_listener,2025-10-14T03:18:05Z,"pop,hip-hop,r&b,electronic",Republic Records,0.772,0.418,8,-13.084,1,0.037,0.9105,0.408,0.93,0.473,113.433,4
spotify:track:ujc4DZVDM4bnj6LAWohoNM,Pyaar 30,Roja,Alka Yagnik,9/15/15,118121,63,TRUE,discover_weekly,2025-10-11T18:15:45Z,"bollywood,hindi hip hop,desi,punjabi pop,hindi pop,punjabi hip hop",Zee Music,0.308,0.543,9,-10.413,1,0.075,0.66821,0.262,0.068,0.573,131.172,5
spotify:track:WvTMVTucHYkWCRNYdWCscm,Sukoon 31,Chaleya,"Kaam Bhaari, Raftaar",6/21/15,225463,39,FALSE,music_streamer,2025-04-23T08:02:48Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Zee Music,0.685,0.429,0,-3.745,1,0.109,0.79934,0.218,0.743,0.905,111.863,3
spotify:track:LYHteOtLAQvc1v9r86eNwX,Tarang 32,Jigarthanda,"Alka Yagnik, Sunidhi Chauhan",8/14/22,143879,3,TRUE,,2024-11-29T01:08:04Z,"bollywood,indian indie,desi pop,malayalam hip hop,desi hip hop,ghazal,marathi pop,bangla pop,hindi pop",Desi Beats,0.377,0.716,5,-10.023,0,0.242,0.67906,0.474,0.444,0.169,72.031,4
spotify:track:hWRnLR9miekS9Y79PRIssj,Sur 33,Yo Yo Honey Singh Is Back,"Sunidhi Chauhan, Dabboo Malik, Anirudh Ravichander",12/16/22,427116,81,TRUE,producer,2024-01-20T16:14:07Z,"remixes,edm,desi house,electronic",Sony Music Entertainment India Pvt. Ltd.,0.939,0.834,3,-4.725,0,0.144,0.57228,0,0.612,0.178,99.487,5
spotify:track:eCGhZIKViF1ZGsk5n6Grem,Track 34: Midnight,Certified Lover Boy,"Beyoncé, Dua Lipa",9/22/25,348799,35,TRUE,discover_weekly,2023-05-25T19:34:05Z,"pop,hip-hop,r&b,electronic",Universal Music Group,0.577,0.335,9,-12.995,1,0.337,0.56362,0,0.081,0.954,173.364,4
spotify:track:zCQjzCvi1t9vyVFgohBid6,Sukoon 35,Chaleya,"R.D. Burman, Badshah, Prabh Deep",9/9/24,382635,53,TRUE,discover_weekly,2021-10-16T10:59:36Z,"arabic hip hop,khaleeji,desi,desert pop",Times Music,0.741,0.352,2,-8.523,1,0.2,0.30854,0.012,0.505,0.97,84.423,4
spotify:track:TVwyJmIeFVr9Qh8yXv6UmF,Pyaar 36,Dil Se,"Prabh Deep, Kaam Bhaari",8/10/20,81105,5,TRUE,playlist_curator,2021-07-15T22:21:51Z,"arabic hip hop,khaleeji,desi,desert pop",T-Series,0.555,0.566,9,-3.389,0,0.131,0.61307,0.081,0.594,0.557,131.554,4
spotify:track:KXSQbD7WWJSKkMM0jQb6gb,Track 37: Golden,Midnights,"Justin Bieber, Rihanna",7/8/18,279561,19,FALSE,audiophile,2022-04-15T13:32:49Z,"pop,hip-hop,r&b,electronic",Bad Boy Records,0.659,0.577,11,-5.544,0,0.207,0.56089,0.499,0.525,0.382,77.709,5
spotify:track:8srmRtv5XqhPx8Y7XsrSvB,Sukoon 38,Bhairava Dweepam,"Himesh Reshammiya, Kaam Bhaari",11/16/17,451820,61,TRUE,,2022-04-07T17:17:59Z,"hindi pop,bollywood,indie pop,desi pop",Times Music,0.622,0.417,1,-6.996,0,0.097,0.66983,0,0.052,0.472,164.777,3
spotify:track:UrrdVOoT0c5zZ5cZWlU2rc,Sur 39,Gully Boy,Yo Yo Honey Singh,5/7/18,357775,77,TRUE,world_music_fan,2023-10-04T09:29:41Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,devotional",Muve Music,0.607,0.595,2,-3.936,1,0.109,0.80881,0.165,0.648,0.747,52.253,4
spotify:track:uyf8D6axBquKJqwoPCjQ53,Track 40: Neon,Certified Lover Boy,Drake,8/20/23,223042,88,TRUE,producer,2023-04-23T11:39:14Z,"pop,hip-hop,r&b,electronic",T-Series,0.364,0.307,2,-9.085,1,0.166,0.54923,0,0.762,0.712,145.33,3
spotify:track:k0BQSE3BdizIIPtbpaneAR,Khwab 41,Party All Night,"Alka Yagnik, Raftaar, Nora Fatehi, Anirudh Ravichander",1/25/21,91591,8,FALSE,desi_hip_hop_fan,2020-05-09T09:26:11Z,"indie pop,desi indie,alternative,experimental",Eros Entertainment,0.777,0.813,11,-6.604,1,0.15,0.89133,0.224,0.376,0.714,155.887,5
spotify:track:ZU8CSAxoCjl2VbOM63oeKB,Raah 42,Gully Boy,"Anirudh Ravichander, Shankar-Ehsaan-Loy",7/15/22,428724,6,TRUE,world_music_fan,2020-06-30T12:28:14Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Eros Entertainment,0.605,0.804,0,-13.178,1,0.094,0.9164,0.288,0.237,0.889,207.711,5
spotify:track:IcvNxGRzslHon1iCdzzGyp,Raah 43,Gully Boy,"Sunidhi Chauhan, Kaavish",9/14/18,399060,10,FALSE,audiophile,2024-02-28T02:34:46Z,"ghazal,sufi,classical,devotional,qawwali",Mudi Music,0.822,0.241,6,-6.242,0,0.349,0.18816,0,0.479,0.883,103.274,3
spotify:track:m4IWxHwqFEg8D04wzInjq5,Khwab 44,Kantara,Anirudh Ravichander,6/30/21,437493,53,FALSE,radio_listener,2021-09-16T06:21:14Z,"rap,desi hip hop,punjabi rap,hindi rap",YRF Music,0.485,0.867,7,-7.842,1,0.103,0.82159,0.483,0.461,0.759,106.348,3
spotify:track:6PVz0oRaFxMPMDEaIaGr8b,Track 45: Electric,Certified Lover Boy,"Drake, Eminem",2/13/24,425879,86,FALSE,bollywood_lover,2022-01-04T03:58:06Z,"pop,hip-hop,r&b,electronic",Republic Records,0.593,0.393,9,-8.156,1,0.107,0.3969,0.187,0.459,0.319,161.558,4
spotify:track:NRf0Nu8834o3QJq5QrHOl0,Tarang 46,Dhurandhar,Raftaar,3/6/15,168610,75,TRUE,music_fan_india,2024-06-19T02:19:10Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Muve Music,0.623,0.653,6,-6.199,1,0.154,0.73975,0,0.501,0.977,58.591,4
spotify:track:bq9Ew6AQOfMXSfjSNTtgat,Tarang 47,Party All Night,Jubin Nautiyal,1/14/19,459164,34,TRUE,music_streamer,2021-06-26T02:11:27Z,"rap,desi hip hop,punjabi rap,hindi rap",Bhushan Kumar,0.537,0.644,6,-13.657,0,0.142,0.09306,0.299,0.864,0.111,116.21,3
spotify:track:qqjkrsWw6SEMCiay0x1BAZ,Track 48: Neon,Certified Lover Boy,Ed Sheeran,4/20/22,371633,17,FALSE,,2023-08-06T19:44:12Z,"pop,hip-hop,r&b,electronic",Columbia Records,0.559,0.342,6,-2.407,1,0.294,0.6329,0,0.326,0.352,175.739,4
spotify:track:Ze0XPispjAxBLKH51zc8RY,Khwab 49,Kantara,"Sachin-Jigar, Shankar-Ehsaan-Loy, Badshah",8/29/21,394590,10,TRUE,playlist_curator,2022-10-13T21:42:22Z,"bangla pop,bengali hip hop,desi pop,indian indie",Desi Beats,0.325,0.69,9,-2.213,1,0.387,0.3316,0,0.011,0.333,131.708,5
spotify:track:Ds5fZTvvWGvgSCecSbvgX5,Raah 50,3 Idiots,"Vishal-Shekhar, Big Dhamma, Alka Yagnik",4/22/23,187880,66,TRUE,music_fan_india,2021-10-17T10:35:27Z,"bangla pop,bengali hip hop,desi pop,indian indie",Divine Music,0.919,0.385,6,-6.813,0,0.256,0.43213,0,0.45,0.487,50.712,3
spotify:track:PE7tyyhvCkPX4KPtohxiyK,Sur 51,Jab Tak Hai Jaan,"Raftaar, Nora Fatehi, Shashwat Sachdev, Shankar-Ehsaan-Loy",6/12/21,261174,54,TRUE,,2025-06-16T20:34:44Z,"telugu pop,tollywood,telugu hip hop,desi pop",Universal Music India,0.889,0.945,2,-7.786,1,0.116,0.1871,0,0.866,0.957,127.537,3
spotify:track:JXncnrWJVEFJqH9HUVBnAT,Track 52: Neon,Happier Than Ever,"Dua Lipa, Kendrick Lamar",5/1/22,453921,31,FALSE,bollywood_lover,2020-05-12T14:16:22Z,"pop,hip-hop,r&b,electronic",Young Money,0.847,0.27,1,-4.917,0,0.084,0.73761,0.345,0.166,0.225,83.059,3
spotify:track:sJ7F3YiUzdrORijtp0yiNM,Track 53: Midnight,Certified Lover Boy,"Eminem, Taylor Swift",3/17/19,296973,9,TRUE,radio_listener,2024-07-08T16:47:17Z,"pop,hip-hop,r&b,electronic",Epic Records,0.721,0.902,7,-2.647,1,0.233,0.86891,0,0.731,0.513,156.263,4
spotify:track:uJJEvQdgWCh1Ba7mQiOj5q,Track 54: Golden,Midnights,"Bad Bunny, Dua Lipa",5/5/22,248971,32,TRUE,playlist_curator,2024-03-03T21:57:41Z,"pop,hip-hop,r&b,electronic",Aftermath,0.324,0.517,4,-5.562,0,0.172,0.0912,0,0.477,0.219,86.191,5
spotify:track:exTgt2iVUi9iGaOBSMjzQ1,Tarang 55,Puthiya Mukham,Jubin Nautiyal,12/22/15,112672,17,TRUE,dj_mixer,2024-04-21T11:27:20Z,"bollywood,indian indie,desi pop,malayalam hip hop,desi hip hop,ghazal,marathi pop,bangla pop,hindi pop",Indie Records,0.793,0.398,10,-13.905,1,0.312,0.69048,0.424,0.205,0.646,80.183,4
spotify:track:e3awtx0AHkD9eKan56yrSV,Khwab 56,Badrinath Ki Dulhania,Dabboo Malik,10/1/19,427950,51,TRUE,music_blogger,2026-01-06T17:39:09Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Saregama India Ltd,0.408,0.448,8,-3.028,0,0.215,0.39073,0,0.31,0.494,202.548,3
spotify:track:OkaiaEvGYqxU2Th3uAGq8M,Dil 57,Soul of Doctor,Flipperachi,7/25/20,298654,65,FALSE,radio_listener,2020-08-15T15:54:36Z,"bangla pop,bengali hip hop,desi pop,indian indie",Bhushan Kumar,0.325,0.326,1,-3.375,0,0.091,0.50882,0,0.245,0.525,111.277,3
spotify:track:qexF3lX87eCr0uIamIsMCK,Tarang 58,Roja,R.D. Burman,7/13/20,465071,99,TRUE,music_streamer,2022-10-01T04:00:59Z,"telugu pop,tollywood,telugu hip hop,desi pop",Universal Music India,0.508,0.386,5,-6.733,0,0.38,0.00146,0.329,0.104,0.577,88.107,4
spotify:track:z3CUKFNyKdPis05yZuCo6i,Track 59: Electric,Happier Than Ever,SZA,8/21/23,366555,13,TRUE,producer,2021-03-08T05:28:29Z,"pop,hip-hop,r&b,electronic",Universal Music Group,0.436,0.297,5,-2.46,0,0.181,0.46335,0,0.158,0.717,182.222,5
spotify:track:FPq9bzCUpCXiaZ8iZxNNKq,Khwab 60,Thuppaki Munai,Shreya Ghoshal,2/12/24,99314,2,TRUE,audiophile,2022-03-20T20:28:51Z,"bollywood,indian indie,desi pop,malayalam hip hop,desi hip hop,ghazal,marathi pop,bangla pop,hindi pop",Desi Beats,0.297,0.924,5,-13.407,1,0.02,0.92413,0.217,0.496,0.444,118.266,4
spotify:track:MpszIdrim2GNXX9WwHE4Fy,Raah 61,Bombay,Sunidhi Chauhan,1/6/17,73664,40,TRUE,,2020-04-30T08:03:51Z,"bangla pop,bengali hip hop,desi pop,indian indie",Mudi Music,0.944,0.624,9,-2.005,0,0.04,0.65686,0,0.764,0.953,142.111,4
spotify:track:RvJi6ZY8HkcdLbDuMXvlX1,Raag 62,Roja,Shankar-Ehsaan-Loy,9/1/15,71488,18,TRUE,music_fan_india,2021-03-30T16:55:23Z,"ghazal,sufi,classical,devotional,qawwali",Zee Music,0.92,0.499,10,-9.857,0,0.135,0.3226,0.488,0.792,0.965,153.869,3
spotify:track:slaRJ0VJltYLNgEuevtN7Y,Track 63: Neon,Certified Lover Boy,"Bad Bunny, Kendrick Lamar",7/7/22,395073,93,FALSE,radio_listener,2025-01-03T00:16:13Z,"pop,hip-hop,r&b,electronic",Columbia Records,0.387,0.254,4,-4.769,0,0.019,0.43822,0,0.885,0.544,110.594,5
spotify:track:t7ekxTH3fKMDb6k3jgmlRS,Dil 64,Dilwale,"Vishal-Shekhar, Pritam",3/9/23,343181,33,FALSE,,2023-05-03T07:06:03Z,"bollywood,indian indie,desi pop,malayalam hip hop,desi hip hop,ghazal,marathi pop,bangla pop,hindi pop",Divine Music,0.495,0.64,7,-13.003,1,0.002,0.08763,0.412,0.2,0.123,77.333,4
spotify:track:qNyxxlcBqZIjRfPYzUodyG,Track 65: Neon,Happier Than Ever,"Rihanna, Billie Eilish",10/30/25,340763,87,FALSE,discover_weekly,2022-08-23T15:19:05Z,"pop,hip-hop,r&b,electronic",Young Money,0.496,0.883,0,-8.473,0,0.048,0.75719,0,0.972,0.828,70.19,4
spotify:track:fII1G4aRKWgjJK7ggWW122,Raag 66,Puthiya Mukham,"Flipperachi, Sachin-Jigar, A.R. Rahman",12/17/17,260825,83,FALSE,bollywood_lover,2025-04-21T01:11:17Z,"ghazal,sufi,classical,devotional,qawwali",Times Music,0.502,0.695,10,-5.982,0,0.158,0.87896,0,0.746,0.929,193.525,3
spotify:track:i8BZqzOlnZTV1YFjtFi02b,Pyaar 67,Puthiya Mukham,"Neha Kakkar, Sunidhi Chauhan",2/28/17,165238,7,TRUE,world_music_fan,2020-05-15T14:03:58Z,"bangla pop,bengali hip hop,desi pop,indian indie",Indie Records,0.47,0.359,5,-4.294,1,0.254,0.12387,0.015,0.489,0.501,203.683,4
spotify:track:xkJ71OQqzbWVa4OLapXs7N,Pyaar 68,Puthiya Mukham,"Stebin Ben, Pritam",10/2/19,257381,44,FALSE,,2022-10-29T06:29:19Z,"punjabi pop,punjabi hip hop,desi hip hop,bhangra",Desi Beats,0.708,0.859,6,-7.402,0,0.205,0.66236,0.422,0.561,0.634,95.228,5
spotify:track:S3sjV3XXLOQSO9qzycRJlT,Sukoon 69,Bombay,Jubin Nautiyal,6/29/17,419828,68,FALSE,,2024-01-08T16:19:54Z,"bollywood,pop,desi,indie",Zee Music,0.327,0.726,8,-12.645,0,0.188,0.74092,0,0.947,0.91,154.71,3
spotify:track:D1K6e3F1xsd0imzJ4CtSWE,Sukoon 70,Jab Tak Hai Jaan,"Neha Kakkar, R.D. Burman, Jubin Nautiyal",1/28/22,152706,40,TRUE,bollywood_lover,2020-01-20T14:17:13Z,"punjabi pop,punjabi hip hop,desi hip hop,bhangra",Bhushan Kumar,0.771,0.335,2,-8.635,0,0.052,0.43371,0.215,0.965,0.445,56.036,3
spotify:track:aTo2tgFsec6CGGAQi9EUk4,Track 71: Midnight,Happier Than Ever,Lady Gaga,2/8/24,271493,2,TRUE,,2022-07-07T23:08:13Z,"pop,hip-hop,r&b,electronic",Epic Records,0.751,0.672,2,-13.399,0,0.15,0.64032,0,0.594,0.143,67.298,3
spotify:track:mQaAgGMRz3FMrWELWZ8wzj,Sukoon 72,Dilwale,R.D. Burman,2/23/21,320232,26,FALSE,desi_hip_hop_fan,2023-09-16T07:00:00Z,"malayalam pop,malayalam hip hop,desi pop,indian indie",Saregama India Ltd,0.704,0.926,9,-6.303,0,0.38,0.77953,0,0.905,0.68,123.08,4
spotify:track:XtTfVc0PkwBM2fYly7qx0X,Dil 73,Puthiya Mukham,Shashwat Sachdev,4/11/22,477810,21,TRUE,music_streamer,2021-06-26T22:46:03Z,"tamil pop,kollywood,tamil dance,tamil hip hop,tollywood,telugu pop,devotional",Indie Records,0.936,0.875,1,-9.592,1,0.321,0.67839,0.091,0.779,0.65,188.012,5
spotify:track:qtRQVJJ8PuGRfPpvPx0I9d,Track 74: Neon,Happier Than Ever,Justin Bieber,3/20/22,142275,64,FALSE,bollywood_lover,2025-07-23T05:04:48Z,"pop,hip-hop,r&b,electronic",Universal Music Group,0.569,0.393,4,-14.345,0,0.22,0.37864,0,0.459,0.821,121.696,4
spotify:track:IafLMsFmP6wdnCIMDOShVn,Pyaar 75,Kantara,Prabh Deep,10/30/18,246195,81,FALSE,music_fan_india,2025-11-08T11:44:06Z,"bollywood,pop,desi,indie",T-Series,0.234,0.331,2,-4.316,1,0.043,0.61085,0.094,0.216,0.842,80.493,4
spotify:track:Gd50DF5kJThyL2Fx84Vq78,Raah 76,RRR,"Raftaar, Anirudh Ravichander",1/29/20,129925,17,FALSE,music_fan_india,2025-09-29T09:53:44Z,"bangla pop,bengali hip hop,desi pop,indian indie",YRF Music,0.611,0.451,11,-2.838,0,0.08,0.62417,0.145,0.921,0.219,163.663,3
spotify:track:r0YGbjPmUjrp0QsUcYg1T1,Tarang 77,Gully Boy,"Shreya Ghoshal, Anirudh Ravichander, Stebin Ben",4/29/23,399276,71,FALSE,producer,2022-08-31T16:50:50Z,"bangla pop,bengali hip hop,desi pop,indian indie",Bhushan Kumar,0.799,0.43,10,-14.389,1,0.155,0.9567,0.488,0.966,0.148,168.987,3
spotify:track:slQlkFxAIiKpuSjjud5MPE,Khwab 78,RRR,"Vishal-Shekhar, Alka Yagnik",6/3/21,348442,45,TRUE,world_music_fan,2023-07-25T16:14:11Z,"ghazal,sufi,classical,devotional,qawwali",Eros Entertainment,0.59,0.829,2,-9.593,1,0.037,0.2212,0.107,0.331,0.364,202.049,5
spotify:track:2xXhpSbGVFFEsOtff8VHMn,Khwab 79,Dilwale,"Yo Yo Honey Singh, Anirudh Ravichander, Stebin Ben",1/22/22,465579,27,FALSE,discover_weekly,2021-03-01T06:34:53Z,"hindi pop,bollywood,indie pop,desi pop",Mudi Music,0.727,0.981,6,-6.595,0,0.299,0.15375,0.23,0.038,0.166,78.479,4
